Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,School,School_reference,School_sort,School_hierarchy,Category,Category_reference,Category_sort,Category_hierarchy,Notes
365,365,Number of pupils,NUM,1,,6602154 - Ysgol Y Graig,6602154,14,,All pupils,all,3,,Total
15,15,Number of pupils,NUM,1,,6602155 - YSGOL GYNRADD LLANGOED,6602155,15,,Eligible for free school meals,fsm,1,,
20,20,Number of pupils,NUM,1,,6602155 - YSGOL GYNRADD LLANGOED,6602155,15,,Eligible for free school meals or transitionally protected,fsmtp,2,,
85,85,Number of pupils,NUM,1,,6602155 - YSGOL GYNRADD LLANGOED,6602155,15,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6602156 - Ysgol Henblas,6602156,16,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6602156 - Ysgol Henblas,6602156,16,,Eligible for free school meals or transitionally protected,fsmtp,2,,
90,90,Number of pupils,NUM,1,,6602156 - Ysgol Henblas,6602156,16,,All pupils,all,3,,Total
20,20,Number of pupils,NUM,1,,6602157 - Ysgol Gymuned Llannerch-y-medd,6602157,17,,Eligible for free school meals,fsm,1,,
25,25,Number of pupils,NUM,1,,6602157 - Ysgol Gymuned Llannerch-y-medd,6602157,17,,Eligible for free school meals or transitionally protected,fsmtp,2,,
125,125,Number of pupils,NUM,1,,6602157 - Ysgol Gymuned Llannerch-y-medd,6602157,17,,All pupils,all,3,,Total
0,0,Number of pupils,NUM,1,,6602160 - Ysgol Pencarnisiog,6602160,18,,Eligible for free school meals,fsm,1,,
,,Number of pupils,NUM,1,,6602160 - Ysgol Pencarnisiog,6602160,18,,Eligible for free school meals or transitionally protected,fsmtp,2,,Confidential
65,65,Number of pupils,NUM,1,,6602160 - Ysgol Pencarnisiog,6602160,18,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6602161 - Ysgol Gymuned Pentraeth,6602161,19,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6602161 - Ysgol Gymuned Pentraeth,6602161,19,,Eligible for free school meals or transitionally protected,fsmtp,2,,
75,75,Number of pupils,NUM,1,,6602161 - Ysgol Gymuned Pentraeth,6602161,19,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6602162 - Ysgol Penysarn,6602162,20,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6602162 - Ysgol Penysarn,6602162,20,,Eligible for free school meals or transitionally protected,fsmtp,2,,
65,65,Number of pupils,NUM,1,,6602162 - Ysgol Penysarn,6602162,20,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6602163 - Ysgol Santes Gwenfaen,6602163,21,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6602163 - Ysgol Santes Gwenfaen,6602163,21,,Eligible for free school meals or transitionally protected,fsmtp,2,,
105,105,Number of pupils,NUM,1,,6602163 - Ysgol Santes Gwenfaen,6602163,21,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6602164 - Ysgol Gynradd Rhosneigr,6602164,22,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6602164 - Ysgol Gynradd Rhosneigr,6602164,22,,Eligible for free school meals or transitionally protected,fsmtp,2,,
75,75,Number of pupils,NUM,1,,6602164 - Ysgol Gynradd Rhosneigr,6602164,22,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6602165 - Ysgol Gynradd Rhosybol,6602165,23,,Eligible for free school meals,fsm,1,,Confidential
10,10,Number of pupils,NUM,1,,6602165 - Ysgol Gynradd Rhosybol,6602165,23,,Eligible for free school meals or transitionally protected,fsmtp,2,,
75,75,Number of pupils,NUM,1,,6602165 - Ysgol Gynradd Rhosybol,6602165,23,,All pupils,all,3,,Total
30,30,Number of pupils,NUM,1,,6602168 - Ysgol Gymuned y Fali,6602168,24,,Eligible for free school meals,fsm,1,,
35,35,Number of pupils,NUM,1,,6602168 - Ysgol Gymuned y Fali,6602168,24,,Eligible for free school meals or transitionally protected,fsmtp,2,,
120,120,Number of pupils,NUM,1,,6602168 - Ysgol Gymuned y Fali,6602168,24,,All pupils,all,3,,Total
85,85,Number of pupils,NUM,1,,6602169 - Ysgol Llanfawr,6602169,25,,Eligible for free school meals,fsm,1,,
120,120,Number of pupils,NUM,1,,6602169 - Ysgol Llanfawr,6602169,25,,Eligible for free school meals or transitionally protected,fsmtp,2,,
255,255,Number of pupils,NUM,1,,6602169 - Ysgol Llanfawr,6602169,25,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6602170 - Ysgol Goronwy Owen,6602170,26,,Eligible for free school meals,fsm,1,,
15,15,Number of pupils,NUM,1,,6602170 - Ysgol Goronwy Owen,6602170,26,,Eligible for free school meals or transitionally protected,fsmtp,2,,
