Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,School,School_reference,School_sort,School_hierarchy,Category,Category_reference,Category_sort,Category_hierarchy,Notes
45,45,Number of pupils,NUM,1,,6683320 - St Marks Church in Wales VA School,6683320,571,,Eligible for free school meals or transitionally protected,fsmtp,2,,
115,115,Number of pupils,NUM,1,,6683320 - St Marks Church in Wales VA School,6683320,571,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6683321 - St Oswalds Church in Wales VA School,6683321,572,,Eligible for free school meals,fsm,1,,Confidential
,,Number of pupils,NUM,1,,6683321 - St Oswalds Church in Wales VA School,6683321,572,,Eligible for free school meals or transitionally protected,fsmtp,2,,Confidential
135,135,Number of pupils,NUM,1,,6683321 - St Oswalds Church in Wales VA School,6683321,572,,All pupils,all,3,,Total
90,90,Number of pupils,NUM,1,,6684031 - Ysgol Bro Gwaun,6684031,573,,Eligible for free school meals,fsm,1,,
130,130,Number of pupils,NUM,1,,6684031 - Ysgol Bro Gwaun,6684031,573,,Eligible for free school meals or transitionally protected,fsmtp,2,,
575,575,Number of pupils,NUM,1,,6684031 - Ysgol Bro Gwaun,6684031,573,,All pupils,all,3,,Total
95,95,Number of pupils,NUM,1,,6684035 - Ysgol Greenhill School,6684035,574,,Eligible for free school meals,fsm,1,,
130,130,Number of pupils,NUM,1,,6684035 - Ysgol Greenhill School,6684035,574,,Eligible for free school meals or transitionally protected,fsmtp,2,,
875,875,Number of pupils,NUM,1,,6684035 - Ysgol Greenhill School,6684035,574,,All pupils,all,3,,Total
255,255,Number of pupils,NUM,1,,6684038 - Ysgol Harri Tudur / Henry Tudor School,6684038,575,,Eligible for free school meals,fsm,1,,
355,355,Number of pupils,NUM,1,,6684038 - Ysgol Harri Tudur / Henry Tudor School,6684038,575,,Eligible for free school meals or transitionally protected,fsmtp,2,,
"1,150",1150,Number of pupils,NUM,1,,6684038 - Ysgol Harri Tudur / Henry Tudor School,6684038,575,,All pupils,all,3,,Total
230,230,Number of pupils,NUM,1,,6684063 - Milford Haven School,6684063,576,,Eligible for free school meals,fsm,1,,
325,325,Number of pupils,NUM,1,,6684063 - Milford Haven School,6684063,576,,Eligible for free school meals or transitionally protected,fsmtp,2,,
"1,045",1045,Number of pupils,NUM,1,,6684063 - Milford Haven School,6684063,576,,All pupils,all,3,,Total
245,245,Number of pupils,NUM,1,,6684512 - Haverfordwest High VC School,6684512,577,,Eligible for free school meals,fsm,1,,
355,355,Number of pupils,NUM,1,,6684512 - Haverfordwest High VC School,6684512,577,,Eligible for free school meals or transitionally protected,fsmtp,2,,
"1,700",1700,Number of pupils,NUM,1,,6684512 - Haverfordwest High VC School,6684512,577,,All pupils,all,3,,Total
80,80,Number of pupils,NUM,1,,6685500 - Ysgol Caer Elen,6685500,578,,Eligible for free school meals,fsm,1,,
125,125,Number of pupils,NUM,1,,6685500 - Ysgol Caer Elen,6685500,578,,Eligible for free school meals or transitionally protected,fsmtp,2,,
905,905,Number of pupils,NUM,1,,6685500 - Ysgol Caer Elen,6685500,578,,All pupils,all,3,,Total
60,60,Number of pupils,NUM,1,,6685501 - Ysgol Bro Preseli,6685501,579,,Eligible for free school meals,fsm,1,,
100,100,Number of pupils,NUM,1,,6685501 - Ysgol Bro Preseli,6685501,579,,Eligible for free school meals or transitionally protected,fsmtp,2,,
930,930,Number of pupils,NUM,1,,6685501 - Ysgol Bro Preseli,6685501,579,,All pupils,all,3,,Total
70,70,Number of pupils,NUM,1,,6685900 - Ysgol Penrhyn Dewi,6685900,580,,Eligible for free school meals,fsm,1,,
115,115,Number of pupils,NUM,1,,6685900 - Ysgol Penrhyn Dewi,6685900,580,,Eligible for free school meals or transitionally protected,fsmtp,2,,
605,605,Number of pupils,NUM,1,,6685900 - Ysgol Penrhyn Dewi,6685900,580,,All pupils,all,3,,Total
80,80,Number of pupils,NUM,1,,6687001 - Portfield Special School,6687001,581,,Eligible for free school meals,fsm,1,,
95,95,Number of pupils,NUM,1,,6687001 - Portfield Special School,6687001,581,,Eligible for free school meals or transitionally protected,fsmtp,2,,
185,185,Number of pupils,NUM,1,,6687001 - Portfield Special School,6687001,581,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6691000 - AMMANFORD NURSERY,6691000,582,,Eligible for free school meals,fsm,1,,Confidential
,,Number of pupils,NUM,1,,6691000 - AMMANFORD NURSERY,6691000,582,,Eligible for free school meals or transitionally protected,fsmtp,2,,Confidential
80,80,Number of pupils,NUM,1,,6691000 - AMMANFORD NURSERY,6691000,582,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6692000 - CEFNEITHIN,6692000,583,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6692000 - CEFNEITHIN,6692000,583,,Eligible for free school meals or transitionally protected,fsmtp,2,,
105,105,Number of pupils,NUM,1,,6692000 - CEFNEITHIN,6692000,583,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6692001 - DREFACH,6692001,584,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6692001 - DREFACH,6692001,584,,Eligible for free school meals or transitionally protected,fsmtp,2,,
45,45,Number of pupils,NUM,1,,6692001 - DREFACH,6692001,584,,All pupils,all,3,,Total
15,15,Number of pupils,NUM,1,,6692003 - LLECHYFEDACH,6692003,585,,Eligible for free school meals,fsm,1,,
20,20,Number of pupils,NUM,1,,6692003 - LLECHYFEDACH,6692003,585,,Eligible for free school meals or transitionally protected,fsmtp,2,,
100,100,Number of pupils,NUM,1,,6692003 - LLECHYFEDACH,6692003,585,,All pupils,all,3,,Total
20,20,Number of pupils,NUM,1,,6692006 - Y TYMBL,6692006,586,,Eligible for free school meals,fsm,1,,
30,30,Number of pupils,NUM,1,,6692006 - Y TYMBL,6692006,586,,Eligible for free school meals or transitionally protected,fsmtp,2,,
110,110,Number of pupils,NUM,1,,6692006 - Y TYMBL,6692006,586,,All pupils,all,3,,Total
20,20,Number of pupils,NUM,1,,6692007 - GORSLAS,6692007,587,,Eligible for free school meals,fsm,1,,
30,30,Number of pupils,NUM,1,,6692007 - GORSLAS,6692007,587,,Eligible for free school meals or transitionally protected,fsmtp,2,,
205,205,Number of pupils,NUM,1,,6692007 - GORSLAS,6692007,587,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6692008 - CROSS HANDS,6692008,588,,Eligible for free school meals,fsm,1,,
20,20,Number of pupils,NUM,1,,6692008 - CROSS HANDS,6692008,588,,Eligible for free school meals or transitionally protected,fsmtp,2,,
125,125,Number of pupils,NUM,1,,6692008 - CROSS HANDS,6692008,588,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6692009 - LLANGAIN,6692009,589,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6692009 - LLANGAIN,6692009,589,,Eligible for free school meals or transitionally protected,fsmtp,2,,
55,55,Number of pupils,NUM,1,,6692009 - LLANGAIN,6692009,589,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6692014 - PENIEL,6692014,590,,Eligible for free school meals,fsm,1,,Confidential
,,Number of pupils,NUM,1,,6692014 - PENIEL,6692014,590,,Eligible for free school meals or transitionally protected,fsmtp,2,,Confidential
110,110,Number of pupils,NUM,1,,6692014 - PENIEL,6692014,590,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6692018 - BANCFFOSFELEN,6692018,591,,Eligible for free school meals,fsm,1,,Confidential
5,5,Number of pupils,NUM,1,,6692018 - BANCFFOSFELEN,6692018,591,,Eligible for free school meals or transitionally protected,fsmtp,2,,
55,55,Number of pupils,NUM,1,,6692018 - BANCFFOSFELEN,6692018,591,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6692019 - GWYNFRYN,6692019,592,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6692019 - GWYNFRYN,6692019,592,,Eligible for free school meals or transitionally protected,fsmtp,2,,
55,55,Number of pupils,NUM,1,,6692019 - GWYNFRYN,6692019,592,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6692020 - CARWAY,6692020,593,,Eligible for free school meals,fsm,1,,
15,15,Number of pupils,NUM,1,,6692020 - CARWAY,6692020,593,,Eligible for free school meals or transitionally protected,fsmtp,2,,
60,60,Number of pupils,NUM,1,,6692020 - CARWAY,6692020,593,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6692023 - PONTIETS,6692023,594,,Eligible for free school meals,fsm,1,,
15,15,Number of pupils,NUM,1,,6692023 - PONTIETS,6692023,594,,Eligible for free school meals or transitionally protected,fsmtp,2,,
25,25,Number of pupils,NUM,1,,6692023 - PONTIETS,6692023,594,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6692024 - PONTHENRI,6692024,595,,Eligible for free school meals,fsm,1,,
15,15,Number of pupils,NUM,1,,6692024 - PONTHENRI,6692024,595,,Eligible for free school meals or transitionally protected,fsmtp,2,,
65,65,Number of pupils,NUM,1,,6692024 - PONTHENRI,6692024,595,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6692034 - BANCYFELIN,6692034,596,,Eligible for free school meals,fsm,1,,Confidential
,,Number of pupils,NUM,1,,6692034 - BANCYFELIN,6692034,596,,Eligible for free school meals or transitionally protected,fsmtp,2,,Confidential
65,65,Number of pupils,NUM,1,,6692034 - BANCYFELIN,6692034,596,,All pupils,all,3,,Total
0,0,Number of pupils,NUM,1,,6692037 - MEIDRIM,6692037,597,,Eligible for free school meals,fsm,1,,
,,Number of pupils,NUM,1,,6692037 - MEIDRIM,6692037,597,,Eligible for free school meals or transitionally protected,fsmtp,2,,Confidential
30,30,Number of pupils,NUM,1,,6692037 - MEIDRIM,6692037,597,,All pupils,all,3,,Total
15,15,Number of pupils,NUM,1,,6692042 - SARON,6692042,598,,Eligible for free school meals,fsm,1,,
25,25,Number of pupils,NUM,1,,6692042 - SARON,6692042,598,,Eligible for free school meals or transitionally protected,fsmtp,2,,
220,220,Number of pupils,NUM,1,,6692042 - SARON,6692042,598,,All pupils,all,3,,Total
25,25,Number of pupils,NUM,1,,6692043 - BETWS,6692043,599,,Eligible for free school meals,fsm,1,,
40,40,Number of pupils,NUM,1,,6692043 - BETWS,6692043,599,,Eligible for free school meals or transitionally protected,fsmtp,2,,
85,85,Number of pupils,NUM,1,,6692043 - BETWS,6692043,599,,All pupils,all,3,,Total
40,40,Number of pupils,NUM,1,,6692044 - TY-CROES,6692044,600,,Eligible for free school meals,fsm,1,,
55,55,Number of pupils,NUM,1,,6692044 - TY-CROES,6692044,600,,Eligible for free school meals or transitionally protected,fsmtp,2,,
200,200,Number of pupils,NUM,1,,6692044 - TY-CROES,6692044,600,,All pupils,all,3,,Total
30,30,Number of pupils,NUM,1,,6692050 - PARCYRHUN,6692050,601,,Eligible for free school meals,fsm,1,,
50,50,Number of pupils,NUM,1,,6692050 - PARCYRHUN,6692050,601,,Eligible for free school meals or transitionally protected,fsmtp,2,,
200,200,Number of pupils,NUM,1,,6692050 - PARCYRHUN,6692050,601,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6692052 - BLAENAU,6692052,602,,Eligible for free school meals,fsm,1,,
15,15,Number of pupils,NUM,1,,6692052 - BLAENAU,6692052,602,,Eligible for free school meals or transitionally protected,fsmtp,2,,
40,40,Number of pupils,NUM,1,,6692052 - BLAENAU,6692052,602,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6692057 - LLANEDI,6692057,603,,Eligible for free school meals,fsm,1,,
5,5,Number of pupils,NUM,1,,6692057 - LLANEDI,6692057,603,,Eligible for free school meals or transitionally protected,fsmtp,2,,
20,20,Number of pupils,NUM,1,,6692057 - LLANEDI,6692057,603,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6692061 - FFAIRFACH,6692061,604,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6692061 - FFAIRFACH,6692061,604,,Eligible for free school meals or transitionally protected,fsmtp,2,,
70,70,Number of pupils,NUM,1,,6692061 - FFAIRFACH,6692061,604,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6692065 - TALLEY,6692065,605,,Eligible for free school meals,fsm,1,,
15,15,Number of pupils,NUM,1,,6692065 - TALLEY,6692065,605,,Eligible for free school meals or transitionally protected,fsmtp,2,,
60,60,Number of pupils,NUM,1,,6692065 - TALLEY,6692065,605,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6692067 - CWRT HENRI,6692067,606,,Eligible for free school meals,fsm,1,,Confidential
5,5,Number of pupils,NUM,1,,6692067 - CWRT HENRI,6692067,606,,Eligible for free school meals or transitionally protected,fsmtp,2,,
35,35,Number of pupils,NUM,1,,6692067 - CWRT HENRI,6692067,606,,All pupils,all,3,,Total
15,15,Number of pupils,NUM,1,,6692080 - LLANGADOG,6692080,607,,Eligible for free school meals,fsm,1,,
20,20,Number of pupils,NUM,1,,6692080 - LLANGADOG,6692080,607,,Eligible for free school meals or transitionally protected,fsmtp,2,,
105,105,Number of pupils,NUM,1,,6692080 - LLANGADOG,6692080,607,,All pupils,all,3,,Total
15,15,Number of pupils,NUM,1,,6692084 - RHYS PRICHARD,6692084,608,,Eligible for free school meals,fsm,1,,
30,30,Number of pupils,NUM,1,,6692084 - RHYS PRICHARD,6692084,608,,Eligible for free school meals or transitionally protected,fsmtp,2,,
210,210,Number of pupils,NUM,1,,6692084 - RHYS PRICHARD,6692084,608,,All pupils,all,3,,Total
15,15,Number of pupils,NUM,1,,6692098 - LLYS HYWEL,6692098,609,,Eligible for free school meals,fsm,1,,
25,25,Number of pupils,NUM,1,,6692098 - LLYS HYWEL,6692098,609,,Eligible for free school meals or transitionally protected,fsmtp,2,,
135,135,Number of pupils,NUM,1,,6692098 - LLYS HYWEL,6692098,609,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6692104 - BRYNSARON,6692104,610,,Eligible for free school meals,fsm,1,,Confidential
,,Number of pupils,NUM,1,,6692104 - BRYNSARON,6692104,610,,Eligible for free school meals or transitionally protected,fsmtp,2,,Confidential
50,50,Number of pupils,NUM,1,,6692104 - BRYNSARON,6692104,610,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6692109 - LLANPUMSAINT,6692109,611,,Eligible for free school meals,fsm,1,,Confidential
,,Number of pupils,NUM,1,,6692109 - LLANPUMSAINT,6692109,611,,Eligible for free school meals or transitionally protected,fsmtp,2,,Confidential
35,35,Number of pupils,NUM,1,,6692109 - LLANPUMSAINT,6692109,611,,All pupils,all,3,,Total
0,0,Number of pupils,NUM,1,,6692112 - MYNYDDYGARREG,6692112,612,,Eligible for free school meals,fsm,1,,
,,Number of pupils,NUM,1,,6692112 - MYNYDDYGARREG,6692112,612,,Eligible for free school meals or transitionally protected,fsmtp,2,,Confidential
30,30,Number of pupils,NUM,1,,6692112 - MYNYDDYGARREG,6692112,612,,All pupils,all,3,,Total
40,40,Number of pupils,NUM,1,,6692114 - JOHNSTOWN,6692114,613,,Eligible for free school meals,fsm,1,,
75,75,Number of pupils,NUM,1,,6692114 - JOHNSTOWN,6692114,613,,Eligible for free school meals or transitionally protected,fsmtp,2,,
445,445,Number of pupils,NUM,1,,6692114 - JOHNSTOWN,6692114,613,,All pupils,all,3,,Total
15,15,Number of pupils,NUM,1,,6692116 - Y DDERWEN,6692116,614,,Eligible for free school meals,fsm,1,,
20,20,Number of pupils,NUM,1,,6692116 - Y DDERWEN,6692116,614,,Eligible for free school meals or transitionally protected,fsmtp,2,,
360,360,Number of pupils,NUM,1,,6692116 - Y DDERWEN,6692116,614,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6692119 - LLANMILOE,6692119,615,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6692119 - LLANMILOE,6692119,615,,Eligible for free school meals or transitionally protected,fsmtp,2,,
60,60,Number of pupils,NUM,1,,6692119 - LLANMILOE,6692119,615,,All pupils,all,3,,Total
40,40,Number of pupils,NUM,1,,6692120 - BRYN,6692120,616,,Eligible for free school meals,fsm,1,,
55,55,Number of pupils,NUM,1,,6692120 - BRYN,6692120,616,,Eligible for free school meals or transitionally protected,fsmtp,2,,
220,220,Number of pupils,NUM,1,,6692120 - BRYN,6692120,616,,All pupils,all,3,,Total
25,25,Number of pupils,NUM,1,,6692121 - BYNEA,6692121,617,,Eligible for free school meals,fsm,1,,
30,30,Number of pupils,NUM,1,,6692121 - BYNEA,6692121,617,,Eligible for free school meals or transitionally protected,fsmtp,2,,
200,200,Number of pupils,NUM,1,,6692121 - BYNEA,6692121,617,,All pupils,all,3,,Total
35,35,Number of pupils,NUM,1,,6692123 - DAFEN,6692123,618,,Eligible for free school meals,fsm,1,,
45,45,Number of pupils,NUM,1,,6692123 - DAFEN,6692123,618,,Eligible for free school meals or transitionally protected,fsmtp,2,,
100,100,Number of pupils,NUM,1,,6692123 - DAFEN,6692123,618,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6692128 - PUM HEOL,6692128,619,,Eligible for free school meals,fsm,1,,
15,15,Number of pupils,NUM,1,,6692128 - PUM HEOL,6692128,619,,Eligible for free school meals or transitionally protected,fsmtp,2,,
75,75,Number of pupils,NUM,1,,6692128 - PUM HEOL,6692128,619,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6692131 - HENDY,6692131,620,,Eligible for free school meals,fsm,1,,
25,25,Number of pupils,NUM,1,,6692131 - HENDY,6692131,620,,Eligible for free school meals or transitionally protected,fsmtp,2,,
185,185,Number of pupils,NUM,1,,6692131 - HENDY,6692131,620,,All pupils,all,3,,Total
30,30,Number of pupils,NUM,1,,6692135 - FFWRNES,6692135,621,,Eligible for free school meals,fsm,1,,
60,60,Number of pupils,NUM,1,,6692135 - FFWRNES,6692135,621,,Eligible for free school meals or transitionally protected,fsmtp,2,,
470,470,Number of pupils,NUM,1,,6692135 - FFWRNES,6692135,621,,All pupils,all,3,,Total
35,35,Number of pupils,NUM,1,,6692159 - OLD ROAD,6692159,622,,Eligible for free school meals,fsm,1,,
50,50,Number of pupils,NUM,1,,6692159 - OLD ROAD,6692159,622,,Eligible for free school meals or transitionally protected,fsmtp,2,,
115,115,Number of pupils,NUM,1,,6692159 - OLD ROAD,6692159,622,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6692166 - LLANSTEFFAN,6692166,623,,Eligible for free school meals,fsm,1,,Confidential
,,Number of pupils,NUM,1,,6692166 - LLANSTEFFAN,6692166,623,,Eligible for free school meals or transitionally protected,fsmtp,2,,Confidential
10,10,Number of pupils,NUM,1,,6692166 - LLANSTEFFAN,6692166,623,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6692167 - LLANNON,6692167,624,,Eligible for free school meals,fsm,1,,Confidential
,,Number of pupils,NUM,1,,6692167 - LLANNON,6692167,624,,Eligible for free school meals or transitionally protected,fsmtp,2,,Confidential
90,90,Number of pupils,NUM,1,,6692167 - LLANNON,6692167,624,,All pupils,all,3,,Total
30,30,Number of pupils,NUM,1,,6692168 - BRYNSIERFEL,6692168,625,,Eligible for free school meals,fsm,1,,
60,60,Number of pupils,NUM,1,,6692168 - BRYNSIERFEL,6692168,625,,Eligible for free school meals or transitionally protected,fsmtp,2,,
205,205,Number of pupils,NUM,1,,6692168 - BRYNSIERFEL,6692168,625,,All pupils,all,3,,Total
45,45,Number of pupils,NUM,1,,6692169 - BRYNAMAN,6692169,626,,Eligible for free school meals,fsm,1,,
60,60,Number of pupils,NUM,1,,6692169 - BRYNAMAN,6692169,626,,Eligible for free school meals or transitionally protected,fsmtp,2,,
270,270,Number of pupils,NUM,1,,6692169 - BRYNAMAN,6692169,626,,All pupils,all,3,,Total
25,25,Number of pupils,NUM,1,,6692171 - MYRDDIN COMMUNITY PRIMARY SCHOOL,6692171,627,,Eligible for free school meals,fsm,1,,
30,30,Number of pupils,NUM,1,,6692171 - MYRDDIN COMMUNITY PRIMARY SCHOOL,6692171,627,,Eligible for free school meals or transitionally protected,fsmtp,2,,
100,100,Number of pupils,NUM,1,,6692171 - MYRDDIN COMMUNITY PRIMARY SCHOOL,6692171,627,,All pupils,all,3,,Total
20,20,Number of pupils,NUM,1,,6692173 - LLANGUNNOR,6692173,628,,Eligible for free school meals,fsm,1,,
25,25,Number of pupils,NUM,1,,6692173 - LLANGUNNOR,6692173,628,,Eligible for free school meals or transitionally protected,fsmtp,2,,
320,320,Number of pupils,NUM,1,,6692173 - LLANGUNNOR,6692173,628,,All pupils,all,3,,Total
60,60,Number of pupils,NUM,1,,6692175 - TRIMSARAN,6692175,629,,Eligible for free school meals,fsm,1,,
80,80,Number of pupils,NUM,1,,6692175 - TRIMSARAN,6692175,629,,Eligible for free school meals or transitionally protected,fsmtp,2,,
195,195,Number of pupils,NUM,1,,6692175 - TRIMSARAN,6692175,629,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6692176 - SWISS VALLEY,6692176,630,,Eligible for free school meals,fsm,1,,
25,25,Number of pupils,NUM,1,,6692176 - SWISS VALLEY,6692176,630,,Eligible for free school meals or transitionally protected,fsmtp,2,,
245,245,Number of pupils,NUM,1,,6692176 - SWISS VALLEY,6692176,630,,All pupils,all,3,,Total
25,25,Number of pupils,NUM,1,,6692177 - PARC Y TYWYN,6692177,631,,Eligible for free school meals,fsm,1,,
35,35,Number of pupils,NUM,1,,6692177 - PARC Y TYWYN,6692177,631,,Eligible for free school meals or transitionally protected,fsmtp,2,,
265,265,Number of pupils,NUM,1,,6692177 - PARC Y TYWYN,6692177,631,,All pupils,all,3,,Total
30,30,Number of pupils,NUM,1,,6692178 - PEMBREY,6692178,632,,Eligible for free school meals,fsm,1,,
45,45,Number of pupils,NUM,1,,6692178 - PEMBREY,6692178,632,,Eligible for free school meals or transitionally protected,fsmtp,2,,
210,210,Number of pupils,NUM,1,,6692178 - PEMBREY,6692178,632,,All pupils,all,3,,Total
15,15,Number of pupils,NUM,1,,6692179 - RHYDAMAN,6692179,633,,Eligible for free school meals,fsm,1,,
30,30,Number of pupils,NUM,1,,6692179 - RHYDAMAN,6692179,633,,Eligible for free school meals or transitionally protected,fsmtp,2,,
290,290,Number of pupils,NUM,1,,6692179 - RHYDAMAN,6692179,633,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6692180 - BECA,6692180,634,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6692180 - BECA,6692180,634,,Eligible for free school meals or transitionally protected,fsmtp,2,,
45,45,Number of pupils,NUM,1,,6692180 - BECA,6692180,634,,All pupils,all,3,,Total
30,30,Number of pupils,NUM,1,,6692181 - LLANDYBIE,6692181,635,,Eligible for free school meals,fsm,1,,
45,45,Number of pupils,NUM,1,,6692181 - LLANDYBIE,6692181,635,,Eligible for free school meals or transitionally protected,fsmtp,2,,
200,200,Number of pupils,NUM,1,,6692181 - LLANDYBIE,6692181,635,,All pupils,all,3,,Total
0,0,Number of pupils,NUM,1,,6692182 - HAFODWENOG,6692182,636,,Eligible for free school meals,fsm,1,,
0,0,Number of pupils,NUM,1,,6692182 - HAFODWENOG,6692182,636,,Eligible for free school meals or transitionally protected,fsmtp,2,,
40,40,Number of pupils,NUM,1,,6692182 - HAFODWENOG,6692182,636,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6692183 - TEILO SANT,6692183,637,,Eligible for free school meals,fsm,1,,Confidential
5,5,Number of pupils,NUM,1,,6692183 - TEILO SANT,6692183,637,,Eligible for free school meals or transitionally protected,fsmtp,2,,
160,160,Number of pupils,NUM,1,,6692183 - TEILO SANT,6692183,637,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6692184 - LLANYBYDDER,6692184,638,,Eligible for free school meals,fsm,1,,
15,15,Number of pupils,NUM,1,,6692184 - LLANYBYDDER,6692184,638,,Eligible for free school meals or transitionally protected,fsmtp,2,,
60,60,Number of pupils,NUM,1,,6692184 - LLANYBYDDER,6692184,638,,All pupils,all,3,,Total
30,30,Number of pupils,NUM,1,,6692185 - LLANDEILO,6692185,639,,Eligible for free school meals,fsm,1,,
45,45,Number of pupils,NUM,1,,6692185 - LLANDEILO,6692185,639,,Eligible for free school meals or transitionally protected,fsmtp,2,,
210,210,Number of pupils,NUM,1,,6692185 - LLANDEILO,6692185,639,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6692187 - CYNWYL ELFED,6692187,640,,Eligible for free school meals,fsm,1,,Confidential
,,Number of pupils,NUM,1,,6692187 - CYNWYL ELFED,6692187,640,,Eligible for free school meals or transitionally protected,fsmtp,2,,Confidential
40,40,Number of pupils,NUM,1,,6692187 - CYNWYL ELFED,6692187,640,,All pupils,all,3,,Total
25,25,Number of pupils,NUM,1,,6692188 - HALFWAY,6692188,641,,Eligible for free school meals,fsm,1,,
45,45,Number of pupils,NUM,1,,6692188 - HALFWAY,6692188,641,,Eligible for free school meals or transitionally protected,fsmtp,2,,
220,220,Number of pupils,NUM,1,,6692188 - HALFWAY,6692188,641,,All pupils,all,3,,Total
20,20,Number of pupils,NUM,1,,6692189 - PWLL,6692189,642,,Eligible for free school meals,fsm,1,,
25,25,Number of pupils,NUM,1,,6692189 - PWLL,6692189,642,,Eligible for free school meals or transitionally protected,fsmtp,2,,
75,75,Number of pupils,NUM,1,,6692189 - PWLL,6692189,642,,All pupils,all,3,,Total
45,45,Number of pupils,NUM,1,,6692190 - PENYGAER,6692190,643,,Eligible for free school meals,fsm,1,,
60,60,Number of pupils,NUM,1,,6692190 - PENYGAER,6692190,643,,Eligible for free school meals or transitionally protected,fsmtp,2,,
165,165,Number of pupils,NUM,1,,6692190 - PENYGAER,6692190,643,,All pupils,all,3,,Total
35,35,Number of pupils,NUM,1,,6692192 - Y CASTELL,6692192,644,,Eligible for free school meals,fsm,1,,
65,65,Number of pupils,NUM,1,,6692192 - Y CASTELL,6692192,644,,Eligible for free school meals or transitionally protected,fsmtp,2,,
220,220,Number of pupils,NUM,1,,6692192 - Y CASTELL,6692192,644,,All pupils,all,3,,Total
15,15,Number of pupils,NUM,1,,6692193 - PENYGROES,6692193,645,,Eligible for free school meals,fsm,1,,
30,30,Number of pupils,NUM,1,,6692193 - PENYGROES,6692193,645,,Eligible for free school meals or transitionally protected,fsmtp,2,,
165,165,Number of pupils,NUM,1,,6692193 - PENYGROES,6692193,645,,All pupils,all,3,,Total
,,Number of pupils,NUM,1,,6692194 - NANTGAREDIG,6692194,646,,Eligible for free school meals,fsm,1,,Confidential
5,5,Number of pupils,NUM,1,,6692194 - NANTGAREDIG,6692194,646,,Eligible for free school meals or transitionally protected,fsmtp,2,,
235,235,Number of pupils,NUM,1,,6692194 - NANTGAREDIG,6692194,646,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6692370 - GWENLLIAN,6692370,647,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6692370 - GWENLLIAN,6692370,647,,Eligible for free school meals or transitionally protected,fsmtp,2,,
125,125,Number of pupils,NUM,1,,6692370 - GWENLLIAN,6692370,647,,All pupils,all,3,,Total
35,35,Number of pupils,NUM,1,,6692371 - DEWI SANT,6692371,648,,Eligible for free school meals,fsm,1,,
60,60,Number of pupils,NUM,1,,6692371 - DEWI SANT,6692371,648,,Eligible for free school meals or transitionally protected,fsmtp,2,,
445,445,Number of pupils,NUM,1,,6692371 - DEWI SANT,6692371,648,,All pupils,all,3,,Total
40,40,Number of pupils,NUM,1,,6692373 - YSGOL GYNRADD PONTYBEREM,6692373,649,,Eligible for free school meals,fsm,1,,
50,50,Number of pupils,NUM,1,,6692373 - YSGOL GYNRADD PONTYBEREM,6692373,649,,Eligible for free school meals or transitionally protected,fsmtp,2,,
225,225,Number of pupils,NUM,1,,6692373 - YSGOL GYNRADD PONTYBEREM,6692373,649,,All pupils,all,3,,Total
