Latitude,Longitude,CommonName,StopType,Status
53.189717878,-3.40966906,Ysgol Frongoch,BCT,active
53.187596538,-3.410796757,Abbey Road,BCT,active
53.186192393,-3.413220067,Lidl,BCT,active
53.185805741,-3.413985583,Lidl,BCT,active
53.184837274,-3.416423088,Denbigh Police Station,BCT,active
53.183508307,-3.419701522,Library and Museum,BCT,active
53.182114365,-3.424264609,Denbigh Morrisons,BCT,active
53.182743181,-3.428056614,Maes y Goron,BCT,active
53.182083264,-3.429112146,Bryn Garth,BCT,active
53.185414588,-3.429432454,Maes Celyn,BCT,active
53.186226358,-3.427708416,Blaen-y-coed,BCT,active
53.188124672,-3.425331899,Bryn Seion Uchaf,BCT,active
53.195727373,-3.438622608,Denbigh Golf Club,BCT,active
53.201571738,-3.457398022,Meifod Road,BCT,active
53.204142462,-3.458159026,Bryn y Garn Road,BCT,active
53.203777164,-3.461186048,Henllan Day Centre,BCT,active
53.20101535,-3.462080194,Henllan Post Office,BCT,active
53.201077526,-3.457740606,Parc-y-Llan,BCT,active
53.183500814,-3.422589558,Lenten Pool,BCT,active
53.181673673,-3.428784271,Myddelton Avenue,BCT,active
53.17790408,-3.466007366,Leger Farm,BCT,active
53.178787782,-3.46066556,Gwaunynnog Bach,BCT,active
53.180161474,-3.423691117,Llewelyn`s Estate,BCT,active
53.177068952,-3.422945283,Gwynfryn,BCT,active
53.173855944,-3.433746127,Pont Lawnt,BCT,active
53.169641064,-3.43885668,Derwen-gornel,BCT,active
53.161909036,-3.466195033,Waen Segrwyd,BCT,active
53.148284844,-3.488309881,Maes Lliwen,BCT,active
53.146165327,-3.4903,Nantglyn War Memorial,BCT,active
53.148426076,-3.499978211,Glyn Cottage,BCT,active
53.141863496,-3.477696996,Ceunant,BCT,active
53.138059192,-3.467654886,Groesffordd Nant-y-Ci,BCT,active
53.134361883,-3.45394094,Capel Saron,BCT,active
53.125176739,-3.44043442,Meifod Crossroads,BCT,active
53.141863575,-3.434324777,Y Fron Farm,BCT,active
53.144729704,-3.426226749,St James` Church,BCT,active
53.148756821,-3.417971526,Maes Y Groes,BCT,active
53.168302482,-3.410986441,Llys Crossroads,BCT,active
53.175488329,-3.419047623,Parc-y-Twll,BCT,active
53.23072022,-3.457069638,Wigfair Farm,BCT,active
53.234120388,-3.465695435,Glascoed Fawr,BCT,active
53.230034169,-3.47411028,Cefnmeiriadog,BCT,active
53.231143939,-3.471601487,St Mary's Church,BCT,active
53.228220471,-3.433404904,Rhodfa Clwyd,BCT,active
53.229913121,-3.430944579,Nant-y-Patrick,BCT,active
53.230086912,-3.43069569,Nant-y-Patrick,BCT,active
53.232988676,-3.430103272,Thatched Cottage,BCT,active
53.23451414,-3.430333925,Thatched Cottage,BCT,active
53.237714039,-3.431864127,Llannerch Equestrian Centre,BCT,active
53.240392548,-3.43339212,Bryn Polyn,BCT,active
53.243818854,-3.434780482,Bryn Polyn Nurseries,BCT,active
53.246643985,-3.436073998,Oriel House Hotel,BCT,active
53.24931977,-3.437077906,Bryn Asaph,BCT,active
53.25191513,-3.436550355,HM Stanley Hospital,BCT,active
53.252950225,-3.437934095,HM Stanley Hospital,BCT,active
53.253438304,-3.438460116,Bishops Walk,BCT,active
53.2240445,-3.421416782,Trefnant Village Hall,BCT,active
53.223709817,-3.420836486,Trefnant Village Hall,BCT,active
53.220467299,-3.41797313,College Farm,BCT,active
53.216257457,-3.41441939,Plas Newydd,BCT,active
53.207122836,-3.409581566,Coed Estyn,BCT,active
53.202842799,-3.409291323,Tyddyn-y-Parc,BCT,active
53.198499511,-3.409014117,Plas Clough,BCT,active
53.213219096,-3.354851596,Bro Lleweni,BCT,active
53.20339361,-3.343731808,Dre Goch Ganol,BCT,active
53.193557793,-3.335850048,Cefn Bithel,BCT,active
53.183881658,-3.39379398,Staverton,BCT,active
53.180435257,-3.350002131,Rowlands Fruit Farm,BCT,active
53.182648097,-3.335525887,Waen Crossroads,BCT,active
53.175946911,-3.33667927,White Horse,BCT,active
53.175586157,-3.334378822,Maes Llan,BCT,active
53.179537992,-3.326241593,Groes Efa Bach,BCT,active
53.182381827,-3.314207963,Llangwyfan Sanitorium,BCT,active
53.17669347,-3.309126305,Groes Fawr,BCT,active
53.164332421,-3.304247543,Ty Coch,BCT,active
53.161866023,-3.303724027,Golden Lion Inn,BCT,active
53.159861522,-3.30370814,Cyffion Crossroads,BCT,active
53.160536529,-3.315080974,White Horse,BCT,active
53.152539224,-3.315584231,Gellifor Primary School,BCT,active
53.14759119,-3.312666739,Bryn Derw,BCT,active
53.145185674,-3.313146578,Plas Yn Rhos Farm,BCT,active
53.141089516,-3.312049843,Foxes Hollow,BCT,active
53.139190084,-3.309839205,Plas Gwyn Farm,BCT,active
53.133483484,-3.298185828,Groes Ucha,BCT,active
53.129773065,-3.288044997,Cae Delyn,BCT,active
53.092522015,-3.282870094,Ffolt Crossroads,BCT,active
53.080647379,-3.274440205,Three Pigeons Inn,BCT,active
53.077217046,-3.272413153,Maes Hyfryd,BCT,active
53.071505451,-3.270184933,Capel Bethel,BCT,active
53.069969879,-3.270871087,Post Office,BCT,active
53.067076592,-3.273263364,Pentrecelyn School,BCT,active
53.047220598,-3.237278334,Pennant-isaf,BCT,active
53.056285824,-3.224765933,Ton-y-nant Gate House,BCT,active
53.062555957,-3.200529982,Post Office,BCT,active
53.096662857,-3.169803118,Rose & Crown,BCT,active
53.097617484,-3.175101062,Maes Gwyn,BCT,active
53.11218737,-3.190692375,Sun Inn,BCT,active
53.057978132,-3.184601052,The Grousemoor,BCT,active
53.030618617,-3.207352026,Tai Newyddion,BCT,active
53.024005625,-3.205243981,Ponderosa Cafe,BCT,active
53.012189813,-3.215288882,Oernant Uchaf,BCT,active
53.011865293,-3.195872956,Farm,BCT,active
52.999493804,-3.193355419,Britannia Inn,BCT,active
52.990789729,-3.189971908,Abbey Mount,BCT,active
52.981778202,-3.193939489,Chain Bridge Hotel,BCT,active
52.98712268,-3.205065879,Llantysilio Farm,BCT,active
52.991359539,-3.208342291,Llantysilio School,BCT,active
52.995512514,-3.219811874,Hebron,BCT,active
52.993913271,-3.224966624,Sun Inn,BCT,active
52.984701871,-3.186557225,Nant y Felin,BCT,active
52.978368331,-3.178906962,Bryn Derwen Hotel,BCT,active
52.974818662,-3.177872093,Eisteddfod Pavilion,BCT,active
52.969058747,-3.16209522,Coed Afon,BCT,active
52.966354232,-3.133553706,Vale of Llangollen Golf Club,BCT,active
52.964456377,-3.161137974,Maes Pengwern,BCT,active
52.964028797,-3.163493841,Erw Deg,BCT,active
52.966216565,-3.166828316,Glascoed,BCT,active
52.982019562,-3.323921544,Post Office,BCT,active
53.017992354,-3.269939067,New Inn,BCT,active
53.01556638,-3.274861582,Bryneglwys War Memorial,BCT,active
52.990740353,-3.379982577,Ty`n-y-llidiart Ind Est,BCT,active
52.987431137,-3.371519719,Maesafallen,BCT,active
52.981787008,-3.398390796,Alwen Cottage,BCT,active
52.980444614,-3.42886709,The Druids,BCT,active
53.00818721,-3.44377876,Bettws Gwerfil Goch,BCT,active
53.027302398,-3.433159341,Capel Cynfal,BCT,active
53.009696111,-3.379543992,St Beuno`s,BCT,active
53.007109435,-3.380489903,Pen y Llan,BCT,active
53.039254508,-3.378011757,Bryn Saith Marchog,BCT,active
53.042753383,-3.36498214,Is Awel,BCT,active
53.109710536,-3.32710925,Cross Keys Hotel,BCT,active
53.112376335,-3.344298039,Telpyn Farm,BCT,active
53.113668033,-3.35248108,Woodlands Hall,BCT,active
53.109505221,-3.368260865,Bridge Hotel,BCT,active
53.109324612,-3.370675303,Llais-yr-Afon,BCT,active
53.108666253,-3.406299151,Red Lion,BCT,active
53.103836281,-3.37341356,Pistyll Gwyn,BCT,active
53.090378654,-3.375747469,Cil Llwyn,BCT,active
53.077127293,-3.371115122,Maes Caenog,BCT,active
53.076562023,-3.368678823,Ysgol Carreg Emlyn,BCT,active
53.062043004,-3.368725809,Glanllyn Inn,BCT,active
53.059713472,-3.393601836,Tal Borth Turn,BCT,active
53.050380521,-3.438281474,Pont Petryal,BCT,active
53.037810788,-3.46056322,Bryn Celyn Turn,BCT,active
53.056050264,-3.387052674,Bryn Siriol,BCT,active
53.045622032,-3.388597349,St Mary's Church,BCT,active
53.04291963,-3.33490113,Ffynnon Bach,BCT,active
53.044030222,-3.333667534,Tan Derw,BCT,active
53.046738787,-3.312419001,Garth-y-groes,BCT,active
53.049565403,-3.302255855,Bro Meudwy,BCT,active
53.053622067,-3.33208385,Nantclwyd Hall,BCT,active
53.057932546,-3.330888831,Bryn Grug,BCT,active
53.064787762,-3.327219997,Ty Brith,BCT,active
53.080318667,-3.32226358,Fox and Hounds Inn,BCT,active
53.08282137,-3.317891137,Capel-y-Rhiw,BCT,active
53.087684676,-3.302809344,Eyarth Crossroads,BCT,active
53.088023581,-3.29687674,Parc-y-Llan,BCT,active
53.088403,-3.296062,Noddfa,BCT,active
53.106424047,-3.303181557,Castle Park Loop,BCT,active
53.107818444,-3.303910903,Ffordd Gwynach,BCT,active
53.111167688,-3.304266228,Erw Gerrig,BCT,active
53.108766457,-3.300249648,Maes Cantaba,BCT,active
53.111598856,-3.298542315,Llys-y-Berllan,BCT,active
53.112854871,-3.304929888,Ruthin Hospital,BCT,active
53.113760419,-3.317388039,Borthyn School,BCT,active
53.112733925,-3.321196313,Porth-y-dre,BCT,active
53.115133513,-3.321254956,Clegir,BCT,active
53.11448705,-3.323610757,Trem-y-Foel Playground,BCT,active
53.119000576,-3.326364427,Ruthin Aldi,BCT,active
53.126789296,-3.329668058,Bryn Clwyd,BCT,active
53.130928054,-3.330961708,Maes Derw,BCT,active
53.133228524,-3.332647158,Drovers Arms,BCT,active
53.145824804,-3.361879528,Bont Garreg Cottages,BCT,active
53.150309947,-3.367030958,Glan Aber Farm,BCT,active
53.154160976,-3.368693641,Pentre Motors,BCT,active
53.15991402,-3.374964159,Kings Head Inn,BCT,active
53.16579384,-3.377246402,Llwyn-y-Rhos,BCT,active
