FID,uprn,school_code,school_name,la_code,local_authority,sector,governance,wm_code,welsh_medium,school_type,religious_character,address_1,address_2,address_3,address_4,postcode,phone_number,pupils,rhif_yr_ysgol,enwr_ysgol,cod_all,awdurdod_lleol,llywodraethu,cod_cc,math_o_gyfrwng_cymraeg,math_o_ysgol,cymeriad_crefyddol,cyfeiriad_1,cyfeiriad_2,cyfeiriad_3,cyfeiriad_4,cod_post,rhif_ffon,disgyblion,id,geom
maintained_schools_wg.1,100100936625,6662156,YSGOL GOLWG PEN Y FAN,666,Powys,Primary,Community,EM,English medium school / provision,Infants & Juniors,Not available,Ysgol Golwg Pen y Fan,,,Brecon,LD3 7LU,01874622262,300,6662156,Ysgol Golwg Pen y Fan,666,Powys,Ddim yn gymwys,EM,Cyfrwng Saesneg,Iau a babanod,Ddim ar gael,Ysgol Golwg Pen y Fan,,,Brecon,LD3 7LU,,300,1,POINT (-3.3900193005579826 51.94967941892604)
maintained_schools_wg.2,49062016,6672374,YSGOL DYFFRYN AERON,667,Ceredigion,Primary,Community,WM,Welsh medium school / provision (including transitional),"Nursery, Infants & Juniors",Not available,Ysgol Dyffryn Aeron,A482 Felinfach,Felinfach,Ceredigion,SA48 8AE,01545908908,180,6672374,Ysgol Dyffryn Aeron,667,Ceredigion,Cymuned,WM,Cyfrwng Cymraeg,"Iau, babanod a meithrin",Ddim ar gael,Ysgol Dyffryn Aeron,A482 Felinfach,Felinfach,Ceredigion,SA48 8AE,,180,2,POINT (-4.1505815959846855 52.17942776042268)
maintained_schools_wg.3,10096056843,6682398,Ysgol Bro Penfro,668,Pembrokeshire,Primary,Community,0 ,Welsh medium school / provision (including transitional),"Nursery, Infants & Juniors",Not available,Old Bush Farm,Bush Hill,Pembroke,Pembrokeshire,SA71 4RJ,01646233150,149,6682398,Ysgol Bro Penfro,668,Sir Benfro,Ddim yn gymwys,0 ,Dim ar gael,Cynradd,Ddim ar gael,Old Bush Farm,Bush Hill,Pembroke,Pembrokeshire,SA71 4RJ,,149,3,POINT (-4.926974126027117 51.682969840138064)
maintained_schools_wg.4,10094265618,6712242,YGG Tregeles,671,Neath Port Talbot,Primary,Community,WM,Welsh medium school / provision (including transitional),"Nursery, Infants & Juniors",Not available,St John’s Terrace,Neath Abbey,Neath Port Talbot,,SA10 7ND,01792966655,43,6712242,YGG Tregeles,671,Castell-nedd Port Talbot,Cymuned,WM,Cyfrwng Cymraeg,"Iau, babanod a meithrin",Ddim ar gael,St John’s Terrace,Neath Abbey,Neath Port Talbot,,SA10 7ND,01792966655,43,4,POINT (-3.8343244798607596 51.66150729369913)
maintained_schools_wg.5,200001851135,6735501,COWBRIDGE SCHOOL,673,The Vale of Glamorgan,Middle,Community,EM,English medium school / provision,Middle (ages 3-19),Not available,Cowbridge Comprehensive School,,Cowbridge Comprehensive School,Cowbridge,CF71 7EN,01446772311,1559,6735501,COWBRIDGE SCHOOL,673,Bro Morgannwg,Cymuned,EM,Cyfrwng Saesneg,Canol (ystod oedran 3-19),Ddim ar gael,Cowbridge Comprehensive School,,Cowbridge Comprehensive School,Cowbridge,CF71 7EN,01446772311,1559,5,POINT (-3.437574982124888 51.463357654385334)
maintained_schools_wg.6,200002935843,6742388,Ysgol Gynradd Gymraeg Awel Taf,674,Rhondda Cynon Taf,Primary,Community,WM,Welsh medium school / provision (including transitional),"Nursery, Infants & Juniors",Not available,Ysgol Gynradd Gymraeg Awel Taf,Holly Street,Rhydyfelin Pontypridd,Rhondda Cynon Taf,CF37 5DB,01443490750,346,6742388,Ysgol Gynradd Gymraeg Awel Taf,674,Rhondda Cynon Taf,Ddim yn gymwys,WM,Cyfrwng Cymraeg,"Iau, babanod a meithrin",Ddim ar gael,Ysgol Gynradd Gymraeg Awel Taf,Holly Street,Rhydyfelin Pontypridd,Rhondda Cynon Taf,CF37 5DB,,346,6,POINT (-3.310188411054282 51.586420812409884)
maintained_schools_wg.7,200001850995,6745505,Ysgol Afon Wen,674,Rhondda Cynon Taf,Middle,Community,WM,English medium school / provision,Middle (ages 3-16),Not available,Ysgol Afonwen,School Lane,RHYDYFELIN PONTYPRIDD,RHONDDA CYNON TAF,CF37 5AL,01443841228,1165,6745505,Ysgol Afonwen,674,Rhondda Cynon Taf,Ddim yn gymwys,WM,Cyfrwng Cymraeg,Canol (ystod oedran 3-16),Ddim ar gael,Ysgol Afonwen,School Lane,RHYDYFELIN PONTYPRIDD,RHONDDA CYNON TAF,CF37 5AL,,1165,7,POINT (-3.306651976063282 51.578305701517706)
maintained_schools_wg.8,100101050180,6745506,Ysgol Bro Taf,674,Rhondda Cynon Taf,Middle,Community,0 ,English medium school / provision,Middle (ages 3-16),Not available,Albion Site,Cilfynydd,Pontypridd,Rhondda Cynon Taf,CF37 4SF,01443486133,902,6745506,Ysgol Bro Taf,674,Rhondda Cynon Taf,Ddim yn gymwys,0 ,Dim ar gael,Canol (ystod oedran 3-16),Ddim ar gael,Albion Site,Cilfynydd,Pontypridd,Rhondda Cynon Taf,CF37 4SF,,902,8,POINT (-3.3219639834433443 51.62453213894413)
maintained_schools_wg.9,100101032966,6792325,Ysgol Gymraeg Trefynwy,679,Monmouthshire,Primary,Community,0 ,Welsh medium school / provision (including transitional),"Nursery, Infants & Juniors",Not available,Rockfield Road,,,Monmouth,NP25 5BA,01600738103,21,6792325,Ysgol Gymraeg Trefynwy,679,Sir Fynwy,Ddim yn gymwys,0 ,Dim ar gael,"Iau, babanod a meithrin",Ddim ar gael,Rockfield Road,,,Monmouth,NP25 5BA,,21,9,POINT (-2.726796931616041 51.81033429535239)
maintained_schools_wg.11,10095991599,6812333,Ysgol Gynradd Groes Wen,681,Cardiff,Primary,Community,DS,Dual language school / provision (Welsh and English) (including transitional),"Nursery, Infants & Juniors",Not available,Rhodfa Plasdwr,St Fagans,Cardiff,,CF5 2FG,02920598950,124,6812333,Ysgol Gynradd Groes Wen,681,Caerdydd,Cymuned,DS,Ddwy ffrwd,"Iau, babanod a meithrin",Ddim ar gael,Rhodfa Plasdwr,St Fagans,Cardiff,,CF5 2FG,02920598950,124,11,POINT (-3.2536034518063452 51.50362823824956)
maintained_schools_wg.12,10024359822,6607011,Canolfan Addysg y Bont,660,Isle of Anglesey,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Ffordd Cildwrn,Llangefni,Ynys Mon,,LL77 7PG,01248750151,123,6607011,Canolfan Addysg y Bont,660,Ynys Môn,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Ffordd Cildwrn,Llangefni,Ynys Mon,,LL77 7PG,01248750151,123,12,POINT (-4.321524632471142 53.25722538176075)
maintained_schools_wg.13,10024096065,6617002,Ysgol Pendalar,661,Gwynedd,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Ffordd Bethel,Caernarfon,Gwynedd,,LL55 1DU,01286672141,115,6617002,Ysgol Pendalar,661,Gwynedd,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Ffordd Bethel,Caernarfon,Gwynedd,,LL55 1DU,01286672141,115,13,POINT (-4.258541331752011 53.14912555274232)
maintained_schools_wg.14,10090572351,6617010,Ysgol Hafod Lon,661,Gwynedd,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Parc Busnes Eryri, Penrhyndeudraeth,Gwynedd,,LL48 6LD,01766772140,116,6617010,Ysgol Hafod Lon,661,Gwynedd,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Parc Busnes Eryri, Penrhyndeudraeth,Gwynedd,,LL48 6LD,01766772140,116,14,POINT (-4.0799407920244715 52.92419638633302)
maintained_schools_wg.15,50000002949,6627007,Ysgol Y Gogarth,662,Conwy,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Nant y Gamar Road,Craig Y Don,Llandudno,,LL30 1YE,01492860077,272,6627007,Ysgol Y Gogarth,662,Conwy,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Nant y Gamar Road,Craig Y Don,Llandudno,,LL30 1YE,01492860077,272,15,POINT (-3.8032663224737115 53.32064729025752)
maintained_schools_wg.16,200001782272,6637000,YSGOL TIR MORFA,663,Denbighshire,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Ffordd Derwen,Rhyl,Denbighshire,,LL18 2RN,01745350388,114,6637000,YSGOL TIR MORFA,663,Sir Ddinbych,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Ffordd Derwen,Rhyl,Denbighshire,,LL18 2RN,01745350388,114,16,POINT (-3.4792841726925166 53.31009281575085)
maintained_schools_wg.17,10002231443,6637010,Ysgol Plas Brondyffryn,663,Denbighshire,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Park Street,Denbigh,,,LL16 3DR,01745813914,119,6637010,Ysgol Plas Brondyffryn,663,Sir Ddinbych,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Park Street,Denbigh,,,LL16 3DR,01745813914,119,17,POINT (-3.409398179016274 53.18511239004361)
maintained_schools_wg.18,10023845552,6647020,Pen Coch,664,Flintshire,Special,Not Applicable,0 ,Not available,Special (without post-16 provision),---,Prince of Wales Avenue,Flint,Flintshire,,CH6 5DL,01352792730,100,6647020,Pen Coch,664,Sir y Fflint,Ddim yn gymwys,0 ,Dim ar gael,Arbennig heb ddarpariaeth ôl-16,---,Prince of Wales Avenue,Flint,Flintshire,,CH6 5DL,01352792730,100,18,POINT (-3.132917770787216 53.244535712107414)
maintained_schools_wg.19,10023845551,6647021,Ysgol Maes Hyfryd,664,Flintshire,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Fifth Avenue,Flint,Flintshire,,CH6 5QL,01352792720,131,6647021,Ysgol Maes Hyfryd,664,Sir y Fflint,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Fifth Avenue,Flint,Flintshire,,CH6 5QL,01352792720,131,19,POINT (-3.1351702857564288 53.23918461397852)
maintained_schools_wg.20,10013548742,6657005,St Christophers School,665,Wrexham,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Stockwell Grove,Wrexham,,,LL13 7BW,01978346910,304,6657005,St Christophers School,665,Wrecsam,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Stockwell Grove,Wrexham,,,LL13 7BW,01978346910,304,20,POINT (-2.9893012974464637 53.036613337807644)
maintained_schools_wg.21,10011778025,6667001,BRYNLLYWARCH HALL SCHOOL,666,Powys,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Kerry,Nr Newtown,Powys,,SY16 4PB,01686670276,87,6667001,BRYNLLYWARCH HALL SCHOOL,666,Powys,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Kerry,Nr Newtown,Powys,,SY16 4PB,01686670276,87,21,POINT (-3.2519163708696914 52.49515531086347)
maintained_schools_wg.22,200002961920,6667002,YSGOL ROBERT OWEN,666,Powys,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Maesyrhandir,Newtown,Powys,,SY16 1LH,01686627454,112,6667002,YSGOL CEDEWAIN,666,Powys,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Maesyrhandir,Newtown,Powys,,SY16 1LH,01686627454,112,22,POINT (-3.3289674009807 52.503871789996374)
maintained_schools_wg.23,10011751551,6667004,YSGOL PENMAES,666,Powys,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Canal Road,Brecon,Powys,,LD3 7HL,01874623508,115,6667004,YSGOL PENMAES,666,Powys,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Canal Road,Brecon,Powys,,LD3 7HL,01874623508,115,23,POINT (-3.3889846169530355 51.943366267749404)
maintained_schools_wg.24,200002959908,6687001,Portfield Special School,668,Pembrokeshire,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Off Portfield,Haverfordwest,Pembrokeshire,,SA61 1BS,01437762701,187,6687001,Portfield Special School,668,Sir Benfro,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Off Portfield,Haverfordwest,Pembrokeshire,,SA61 1BS,01437762701,187,24,POINT (-4.984109857013898 51.796692212625025)
maintained_schools_wg.25,10024323649,6691000,AMMANFORD NURSERY,669,Carmarthenshire,Nursery,Not Applicable,0 ,Not available,Nursery,---,Stryd Fawr,Rhydaman,Sir Gaerfryrddin,,SA18 2NS,01269592605,81,6691000,AMMANFORD NURSERY,669,Sir Gaerfyrddin,Ddim yn gymwys,0 ,Dim ar gael,Meithrin,---,Stryd Fawr,Rhydaman,Sir Gaerfryrddin,,SA18 2NS,01269592605,81,25,POINT (-3.9857919040259837 51.79399629188132)
maintained_schools_wg.27,10023949022,6717006,Ysgol Maes y Coed,671,Neath Port Talbot,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Heol Hendre,Bryncoch,Neath,,SA10 7TY,01639643648,125,6717006,Ysgol Maes y Coed,671,Castell-nedd Port Talbot,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Heol Hendre,Bryncoch,Neath,,SA10 7TY,01639643648,125,27,POINT (-3.819705763375519 51.68868992557795)
maintained_schools_wg.28,10023949301,6717008,Ysgol Hendrefelin,671,Neath Port Talbot,Special,Not Applicable,0 ,Not available,Special (without post-16 provision),---,Heol Hendre,Bryncoch,Neath,,SA10 7TY,01639642786,175,6717008,Ysgol Hendrefelin,671,Castell-nedd Port Talbot,Ddim yn gymwys,0 ,Dim ar gael,Arbennig heb ddarpariaeth ôl-16,---,Heol Hendre,Bryncoch,Neath,,SA10 7TY,01639642786,175,28,POINT (-3.8194732256670796 51.6877979038128)
maintained_schools_wg.29,10013369425,6727003,Heronsbridge Special School,672,Bridgend,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Ewenny Road,Bridgend,,,CF31 3HT,01656815725,269,6727003,Heronsbridge Special School,672,Pen-y-bont ar Ogwr,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Ewenny Road,Bridgend,,,CF31 3HT,01656815725,269,29,POINT (-3.57453415760825 51.49877874837693)
maintained_schools_wg.30,10090816561,6727012,Ysgol Bryn Castell,672,Bridgend,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Llangewydd Road,Cefn Glas,Bridgend,,CF32 9NZ,01656815595,181,6727012,Ysgol Bryn Castell,672,Pen-y-bont ar Ogwr,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Llangewydd Road,Cefn Glas,Bridgend,,CF32 9NZ,01656815595,181,30,POINT (-3.5674567845974483 51.552037512883516)
maintained_schools_wg.31,64108337,6737024,Ysgol Y Deri,673,The Vale of Glamorgan,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Sully Road,Penarth,,,CF64 2TP,02920352280,523,6737024,Ysgol Y Deri,673,Bro Morgannwg,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Sully Road,Penarth,,,CF64 2TP,02920352280,523,31,POINT (-3.195997981835996 51.438653746163276)
maintained_schools_wg.32,200002937215,6747006,MAESGWYN,674,Rhondda Cynon Taf,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Cwmdare Road,Cwmdare,Aberdare,,CF44 8RE,01685873933,134,6747006,MAESGWYN,674,Rhondda Cynon Taf,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Cwmdare Road,Cwmdare,Aberdare,,CF44 8RE,01685873933,134,32,POINT (-3.470431230339976 51.72275577441742)
maintained_schools_wg.33,200002937306,6747008,Park Lane Special School,674,Rhondda Cynon Taf,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Park Lane,Trecynon,Aberdare,Rhondda Cynon Taf,CF44 8HN,01685874489,146,6747008,Park Lane Special School,674,Rhondda Cynon Taf,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Park Lane,Trecynon,Aberdare,Rhondda Cynon Taf,CF44 8HN,01685874489,146,33,POINT (-3.4630129172081476 51.72000815789275)
maintained_schools_wg.34,10001302041,6747011,Ysgol Hen Felin,674,Rhondda Cynon Taf,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Gelligaled Park,Ystrad ,Rhondda,,CF41 7SZ,01443431571,244,6747011,Ysgol Hen Felin,674,Rhondda Cynon Taf,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Gelligaled Park,Ystrad ,Rhondda,,CF41 7SZ,01443431571,244,34,POINT (-3.462035763557477 51.642895986136814)
maintained_schools_wg.35,200001851001,6747015,Ysgol Ty Coch,674,Rhondda Cynon Taf,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Lansdale Drive,Tonteg,Pontypridd,Rhondda Cynon Taf,CF38 1PG,01443203471,241,6747015,Ysgol Ty Coch,674,Rhondda Cynon Taf,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Lansdale Drive,Tonteg,Pontypridd,Rhondda Cynon Taf,CF38 1PG,01443203471,241,35,POINT (-3.306120104375455 51.56831265265312)
maintained_schools_wg.36,10034661501,6757013,Greenfield School,675,Merthyr Tydfil,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Duffryn Road,Pentrebach,Merthyr Tydfil,,CF48 4BJ,01685351817,204,6757013,Greenfield School,675,Merthyr Tudful,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Duffryn Road,Pentrebach,Merthyr Tydfil,,CF48 4BJ,01685351817,204,36,POINT (-3.358808715100796 51.72619501529096)
maintained_schools_wg.37,43020848,6767011,Trinity Fields School,676,Caerphilly,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Caerphilly Road,Ystrad Mynach,Hengoed,,CF82 7XW,01443866000,306,6767011,Trinity Fields School,676,Caerffili,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Caerphilly Road,Ystrad Mynach,Hengoed,,CF82 7XW,01443866000,306,37,POINT (-3.2371036351614855 51.63825244856617)
maintained_schools_wg.38,10093452461,6777011,Pen-y-Cwm Special School,677,Blaenau Gwent,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Strand Annealing Lane,Ebbw Vale,Blaenau Gwent,,NP23 6AN,01495369535,174,6777011,Pen-y-Cwm Special School,677,Blaenau Gwent,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Strand Annealing Lane,Ebbw Vale,Blaenau Gwent,,NP23 6AN,01495357758,174,38,POINT (-3.1990684908528397 51.766680032024205)
maintained_schools_wg.39,200001099018,6777012,The River Centre 3-16 Learning Community,677,Blaenau Gwent,Special,Not Applicable,0 ,Not available,Special (without post-16 provision),---,Pontygof,,Ebbw Vale,Blaenau Gwent,NP23 6EH,01495369628,61,6777012,The River Centre 3-16 Learning Community,677,Blaenau Gwent,Ddim yn gymwys,0 ,Dim ar gael,Arbennig heb ddarpariaeth ôl-16,---,Pontygof,,Ebbw Vale,Blaenau Gwent,NP23 6EH,01495357714,61,39,POINT (-3.20521024862488 51.78268475517607)
maintained_schools_wg.40,10013482822,6787012,Crownbridge Special School,678,Torfaen,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Turnpike Road,Croesyceiliog,Cwmbran,Torfaen,NP44 2BJ,01633624201,142,6787012,Crownbridge Special School,678,Torfaen,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Turnpike Road,Croesyceiliog,Cwmbran,Torfaen,NP44 2BJ,01633624201,142,40,POINT (-3.005358975287597 51.65345255407233)
maintained_schools_wg.41,100101046554,6801019,Newport Nursery School,680,Newport,Nursery,Not Applicable,0 ,Not available,Nursery,Not available,Newport Nursery School,Church Road,Newport,,NP19 7EJ,01633259415,68,6801019,Newport Nursery School,680,Casnewydd,Ddim yn gymwys,0 ,Dim ar gael,Meithrin,Ddim ar gael,Newport Nursery School,Church Road,Newport,,NP19 7EJ,01633259415,68,41,POINT (-2.984077251701153 51.59297281052022)
maintained_schools_wg.42,200001852535,6807002,MAES EBBW SCHOOL,680,Newport,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Maesglas Road,Maesglas,Newport,,NP20 3DG,01633815480,157,6807002,MAES EBBW SCHOOL,680,Casnewydd,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Maesglas Road,Maesglas,Newport,,NP20 3DG,01633815480,157,42,POINT (-3.0131060718480365 51.567576112620976)
maintained_schools_wg.43,10093296174,6807004,Ysgol Bryn Derw,680,Newport,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Melfort Road,,,Newport,NP20 3FQ,01633414988,111,6807004,Ysgol Bryn Derw,680,Casnewydd,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Melfort Road,,,Newport,NP20 3FQ,01633414988,111,43,POINT (-3.0160967916895016 51.577821435952515)
maintained_schools_wg.44,200002932337,6811003,GRANGETOWN NURSERY SCHOOL,681,Cardiff,Nursery,Not Applicable,0 ,Not available,Nursery,---,Avondale Road,Grangetown,Cardiff,,CF11 7DT,02920345026,114,6811003,GRANGETOWN NURSERY SCHOOL,681,Caerdydd,Ddim yn gymwys,0 ,Dim ar gael,Meithrin,---,Avondale Road,Grangetown,Cardiff,,CF11 7DT,02920345026,114,44,POINT (-3.1800916020986447 51.46338741783851)
maintained_schools_wg.45,100101042753,6811017,TREMORFA NURSERY,681,Cardiff,Nursery,Not Applicable,0 ,Not available,Nursery,---,"Willows High School, Willows Avenue",Splott,Cardiff,,CF24 2YE,02920462581,41,6811017,TREMORFA NURSERY,681,Caerdydd,Ddim yn gymwys,0 ,Dim ar gael,Meithrin,---,"Willows High School, Willows Avenue",Splott,Cardiff,,CF24 2YE,02920462581,41,45,POINT (-3.139892003191421 51.487617436222415)
maintained_schools_wg.46,10013081413,6811018,Ely and Caerau Children's Centre,681,Cardiff,Nursery,Not Applicable,0 ,Not available,Nursery,---,Michaelston Road,Ely,Cardiff,,CF5 4SX,02920671421,76,6811018,Ely and Caerau Children's Centre,681,Caerdydd,Ddim yn gymwys,0 ,Dim ar gael,Meithrin,---,Michaelston Road,Ely,Cardiff,,CF5 4SX,02920671421,76,46,POINT (-3.2700793351401645 51.47296346503139)
maintained_schools_wg.47,200001850866,6817001,GREENHILL SPECIAL SCHOOL,681,Cardiff,Special,Not Applicable,0 ,Not available,Special (without post-16 provision),---,Heol Brynglas,Rhiwbina,Cardiff,,CF14 6UJ,02920693786,77,6817001,GREENHILL SPECIAL SCHOOL,681,Caerdydd,Ddim yn gymwys,0 ,Dim ar gael,Arbennig heb ddarpariaeth ôl-16,---,Heol Brynglas,Rhiwbina,Cardiff,,CF14 6UJ,02920693786,77,47,POINT (-3.2202859306205616 51.52739774323022)
maintained_schools_wg.49,200002938874,6817006,WOODLANDS HIGH SCHOOL,681,Cardiff,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Vincent Road,Caerau,Cardiff,,CF5 5AQ,02920561279,182,6817006,WOODLANDS HIGH SCHOOL,681,Caerdydd,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Vincent Road,Caerau,Cardiff,,CF5 5AQ,02920561279,182,49,POINT (-3.2328930029247265 51.47783817256209)
maintained_schools_wg.50,200001850895,6817008,RIVERBANK SCHOOL,681,Cardiff,Special,Not Applicable,0 ,Not available,Special (without post-16 provision),---,Vincent Road,Caerau,Cardiff,,CF5 5AQ,02920563860,80,6817008,RIVERBANK SCHOOL,681,Caerdydd,Ddim yn gymwys,0 ,Dim ar gael,Arbennig heb ddarpariaeth ôl-16,---,Vincent Road,Caerau,Cardiff,,CF5 5AQ,02920563860,80,50,POINT (-3.2353276388925045 51.4789374384821)
maintained_schools_wg.51,10023550350,6817011,TY-GWYN SPECIAL SCHOOL,681,Cardiff,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Vincent Road,Caerau,Cardiff,,CF5 5AQ,02920838560,251,6817011,TY-GWYN SPECIAL SCHOOL,681,Caerdydd,Ddim yn gymwys,0 ,Dim ar gael,Arbennig gyda darpariaeth ôl-16,---,Vincent Road,Caerau,Cardiff,,CF5 5AQ,02920838560,251,51,POINT (-3.23426617178979 51.478099237558496)
maintained_schools_wg.52,200002933500,6817019,THE HOLLIES SCHOOL,681,Cardiff,Special,Not Applicable,0 ,Not available,Special (without post-16 provision),---,Bryn Heulog,Pentwyn,Cardiff,,CF23 7XG,02920734411,135,6817019,THE HOLLIES SCHOOL,681,Caerdydd,Ddim yn gymwys,0 ,Dim ar gael,Arbennig heb ddarpariaeth ôl-16,---,Bryn Heulog,Pentwyn,Cardiff,,CF23 7XG,02920734411,135,52,POINT (-3.142423439928552 51.526068942081615)
maintained_schools_wg.53,200001775886,6817021,MEADOWBANK SPECIAL SCHOOL,681,Cardiff,Special,Not Applicable,0 ,Not available,Special (without post-16 provision),---,Colwill Road,Llandaff North,Cardiff,,CF14 2QQ,02920616018,98,6817021,MEADOWBANK SPECIAL SCHOOL,681,Caerdydd,Ddim yn gymwys,0 ,Dim ar gael,Arbennig heb ddarpariaeth ôl-16,---,Colwill Road,Llandaff North,Cardiff,,CF14 2QQ,02920616018,98,53,POINT (-3.21681752594211 51.499495950810434)
maintained_schools_wg.54,10013458731,6602130,Ysgol Gynradd Amlwch,660,Isle of Anglesey,Primary,Community,WM,Welsh medium school / provision (including transitional),"Nursery, Infants & Juniors",---,Amlwch,Ynys Môn,,,LL68 9DU,01407830414,258,6602130,Ysgol Gynradd Amlwch,660,Ynys Môn,Cymuned,WM,Cyfrwng Cymraeg,"Iau, babanod a meithrin",---,Amlwch,Ynys Môn,,,LL68 9DU,01407830414,258,54,POINT (-4.3474269122121765 53.4118816235288)
maintained_schools_wg.55,10013458740,6602131,Ysgol Gynradd Beaumaris,660,Isle of Anglesey,Primary,Community,WM,Welsh medium school / provision (including transitional),"Nursery, Infants & Juniors",---,Maeshyfryd,Beaumaris,Ynys Môn,,LL58 8HL,01248810451,32,6602131,Ysgol Gynradd Beaumaris,660,Ynys Môn,Cymuned,WM,Cyfrwng Cymraeg,"Iau, babanod a meithrin",---,Maeshyfryd,Beaumaris,Ynys Môn,,LL58 8HL,01248810451,32,55,POINT (-4.102486860188932 53.26472586468607)
maintained_schools_wg.56,200002641735,6602132,Ysgol Gynradd Bodedern,660,Isle of Anglesey,Primary,Community,WM,Welsh medium school / provision (including transitional),"Nursery, Infants & Juniors",---,Bodedern,Caergybi,Ynys Môn,,LL65 3TZ,01407740201,85,6602132,Ysgol Gynradd Bodedern,660,Ynys Môn,Cymuned,WM,Cyfrwng Cymraeg,"Iau, babanod a meithrin",---,Bodedern,Caergybi,Ynys Môn,,LL65 3TZ,01407740201,85,56,POINT (-4.499031594048755 53.293311673938646)
maintained_schools_wg.57,10013462245,6602133,Ysgol Gymuned Bodffordd,660,Isle of Anglesey,Primary,Community,WM,Welsh medium school / provision (including transitional),"Nursery, Infants & Juniors",---,Bodffordd,Llangefni,Ynys Môn,,LL77 7LZ,01248723384,76,6602133,Ysgol Gymuned Bodffordd,660,Ynys Môn,Cymuned,WM,Cyfrwng Cymraeg,"Iau, babanod a meithrin",---,Bodffordd,Llangefni,Ynys Môn,,LL77 7LZ,01248723384,76,57,POINT (-4.361256934467891 53.264599600311506)
