FID,uprn,school_code,school_name,la_code,local_authority,sector,governance,wm_code,welsh_medium,school_type,religious_character,address_1,address_2,address_3,address_4,postcode,phone_number,pupils,rhif_yr_ysgol,enwr_ysgol,cod_all,awdurdod_lleol,llywodraethu,cod_cc,math_o_gyfrwng_cymraeg,math_o_ysgol,cymeriad_crefyddol,cyfeiriad_1,cyfeiriad_2,cyfeiriad_3,cyfeiriad_4,cod_post,rhif_ffon,disgyblion,id,geom
maintained_schools_wg.904,200002658268,6722358,YSGOL Y FERCH O'R SGER,672,Bridgend,Primary,Community,WM,Welsh medium school / provision (including transitional),"Nursery, Infants & Juniors",---,Greenfield Terrace,North Cornelly,Bridgend,,CF33 4LW,01656754865,146,6722358,YSGOL Y FERCH O'R SGER,672,Pen-y-bont ar Ogwr,Cymuned,WM,Cyfrwng Cymraeg,"Iau, babanod a meithrin",---,Greenfield Terrace,North Cornelly,Bridgend,,CF33 4LW,01656754865,146,904,POINT (-3.7032924212038907 51.522069720494045)
maintained_schools_wg.905,10094050082,6722363,Ysgol Gynradd Gymraeg Calon Y Cymoedd,672,Bridgend,Primary,Community,WM,Welsh medium school / provision (including transitional),"Nursery, Infants & Juniors",---,Bettws Road,Bettws,Bridgend,,CF32 8TB,01656815810,193,6722363,Ysgol Gynradd Gymraeg Calon Y Cymoedd,672,Pen-y-bont ar Ogwr,Cymuned,WM,Cyfrwng Cymraeg,"Iau, babanod a meithrin",---,Bettws Road,Bettws,Bridgend,,CF32 8TB,01656815810,193,905,POINT (-3.5884570710931087 51.56860064155262)
maintained_schools_wg.906,10032999502,6722367,Maes Yr Haul Broadlands,672,Bridgend,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,Broadlands,Ffordd Tirion,Bridgend,,CF31 5EG,01656815600,471,6722367,Maes Yr Haul Broadlands,672,Pen-y-bont ar Ogwr,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,Broadlands,Ffordd Tirion,Bridgend,,CF31 5EG,01656815600,471,906,POINT (-3.601599621695677 51.50310998521151)
maintained_schools_wg.907,200002658952,6722368,BRYNCETHIN PRIMARY,672,Bridgend,Primary,Community,EM,English medium school / provision,Infants & Juniors,---,Heol Canola,Bryncethin,Bridgend,,CF32 9TH,01656815840,237,6722368,BRYNCETHIN PRIMARY,672,Pen-y-bont ar Ogwr,Cymuned,EM,Cyfrwng Saesneg,Iau a babanod,---,Heol Canola,Bryncethin,Bridgend,,CF32 9TH,01656815840,237,907,POINT (-3.5723590219078103 51.542489585575964)
maintained_schools_wg.908,10013374334,6722369,Ogmore Vale Primary School,672,Bridgend,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,Aber Road,Ogmore Vale,Bridgend,,CF32 7AJ,01656815640,292,6722369,Ogmore Vale Primary School,672,Pen-y-bont ar Ogwr,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,Aber Road,Ogmore Vale,Bridgend,,CF32 7AJ,01656815640,292,908,POINT (-3.5429619827854895 51.60706927922327)
maintained_schools_wg.909,10094050218,6722370,Pencoed Primary School,672,Bridgend,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,PENCOED PRIMARY SCHOOL,PENPRYSG ROAD,PENCOED,,CF35 6RH,01656815730,572,6722370,Pencoed Primary School,672,Pen-y-bont ar Ogwr,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,PENCOED PRIMARY SCHOOL,PENPRYSG ROAD,PENCOED,,CF35 6RH,01656815730,572,909,POINT (-3.4953906878222964 51.52830082262209)
maintained_schools_wg.910,10013374232,6722371,Oldcastle Primary School,672,Bridgend,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,South Street,Bridgend,,,CF31 3ED,01656815790,413,6722371,Oldcastle Primary School,672,Pen-y-bont ar Ogwr,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,South Street,Bridgend,,,CF31 3ED,01656815790,413,910,POINT (-3.5787033954121767 51.50187994738068)
maintained_schools_wg.911,10013374233,6722372,Brackla Primary School,672,Bridgend,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,Brackla way,Brackla,Bridgend,,CF31 2EZ,01656815570,337,6722372,Brackla Primary School,672,Pen-y-bont ar Ogwr,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,Brackla way,Brackla,Bridgend,,CF31 2EZ,01656815570,337,911,POINT (-3.563874613671249 51.50913907658963)
maintained_schools_wg.912,10013375028,6722373,Caerau Primary School,672,Bridgend,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,Library Road,Caerau,Maesteg,,CF34 0PA,01656815830,404,6722373,Caerau Primary School,672,Pen-y-bont ar Ogwr,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,Library Road,Caerau,Maesteg,,CF34 0PA,01656815830,404,912,POINT (-3.653035385903097 51.63342534101579)
maintained_schools_wg.913,100101038226,6722374,Litchard Primary,672,Bridgend,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,Garfield Avenue,Litchard,Bridgend,,CF31 1QB,01656 815685,457,6722374,Litchard Primary,672,Pen-y-bont ar Ogwr,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,Garfield Avenue,Litchard,Bridgend,,CF31 1QB,01656 815685,457,913,POINT (-3.579033366781175 51.52322706063029)
maintained_schools_wg.914,100101037936,6722375,Tremains Primary School,672,Bridgend,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,Channel View,Brackla,Bridgend,,CF31 2NL,01656815900,454,6722375,Tremains Primary School,672,Pen-y-bont ar Ogwr,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,Channel View,Brackla,Bridgend,,CF31 2NL,01656815900,454,914,POINT (-3.552173325033138 51.50865052967172)
